City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
redmond,US,1554348124,47.67,-122.12,75,52.0,71,10.29
la libertad,PE,1554346800,-16.38,-71.56,40,55.4,82,4.7
tadine,NC,1554348419,-21.55,167.88,88,81.0,92,7.09
pasinler,TR,1554346200,39.98,41.67,75,35.6,93,1.12
bandarbeyla,SO,1554348082,9.49,50.81,80,78.48,100,1.72
novoagansk,RU,1554348420,61.94,76.66,44,27.45,80,5.64
gunzenhausen,DE,1554348418,49.11,10.75,90,43.0,100,8.05
mount isa,AU,1554345000,-20.73,139.49,0,89.6,38,13.87
edenderry,IE,1554348404,53.34,-7.05,75,41.0,86,12.75
linxia,CN,1554348422,35.6,103.21,92,38.88,77,3.18
muscat,OM,1554346200,23.6,58.55,0,77.0,69,2.24
barao de melgaco,BR,1554346800,-16.19,-55.97,40,78.8,88,2.24
san jeronimo,PE,1554348318,-13.65,-73.37,36,45.63,96,1.72
tual,ID,1554348182,-5.67,132.75,64,80.73,100,14.92
narsaq,GL,1554346200,60.91,-46.05,12,21.2,48,6.93
gao,ML,1554348424,16.28,-0.04,0,76.23,33,3.18
yumen,CN,1554348151,40.29,97.04,0,54.27,37,7.09
aripuana,BR,1554348424,-9.17,-60.63,48,75.96,92,2.73
maunabo,PR,1554348404,18.01,-65.9,40,80.6,69,6.93
nikolsk,RU,1554348425,59.53,45.45,0,18.72,69,2.84
dabat,ET,1554348425,12.98,37.77,0,47.43,52,2.73
taltal,CL,1554348426,-25.41,-70.49,0,53.37,98,0.83
aksarka,RU,1554348426,66.56,67.8,44,20.97,84,7.09
iskateley,RU,1554347954,67.68,53.15,64,26.37,93,12.46
alghero,IT,1554346200,40.56,8.32,0,42.8,100,5.82
moose factory,CA,1554343200,51.26,-80.61,90,15.8,72,12.75
caibarien,CU,1554342600,22.52,-79.47,0,73.4,73,8.05
benjamin constant,BR,1554346800,-4.38,-70.03,20,77.0,100,2.28
medvedovskaya,RU,1554348046,45.45,39.03,20,37.0,92,4.47
santiago do cacem,PT,1554347774,38.02,-8.69,0,50.0,81,6.93
panama city,US,1554348313,30.16,-85.65,1,62.01,82,3.36
nata,CY,1554347799,34.78,32.57,20,55.0,87,9.17
changji,CN,1554348429,32.07,116.17,80,63.27,69,5.86
melton,AU,1554348424,-37.68,144.58,76,73.99,63,12.75
williston,US,1554348125,48.15,-103.62,90,46.4,45,12.75
klaksvik,FO,1554346200,62.23,-6.59,92,37.4,98,5.82
iralaya,HN,1554347886,15.0,-83.23,88,78.3,92,8.21
birjand,IR,1554346800,32.86,59.22,0,59.0,51,6.93
nushki,PK,1554348431,29.55,66.02,0,63.81,54,2.84
christchurch,NZ,1554348004,-43.53,172.64,44,64.99,51,9.17
erzin,TR,1554348152,36.95,36.2,40,57.2,82,6.93
nukus,UZ,1554346800,42.46,59.61,0,46.4,75,9.17
quzhou,CN,1554348432,28.97,118.86,92,55.44,93,3.74
podporozhye,RU,1554348433,60.91,34.16,0,24.3,76,7.99
comodoro rivadavia,AR,1554346800,-45.87,-67.48,0,53.6,66,6.93
kavaratti,IN,1554348433,10.57,72.64,0,84.15,100,3.29
gobabis,NA,1554348235,-22.45,18.97,76,61.2,81,1.39
antigonish,CA,1554348423,45.62,-61.99,90,37.0,75,26.4
tessalit,ML,1554348129,20.2,1.01,0,68.4,36,5.08
yekaterinoslavka,RU,1554348434,54.34,72.46,92,33.57,96,10.89
bundaberg,AU,1554348002,-24.87,152.35,90,84.0,44,19.46
marshfield,US,1554348365,42.09,-70.71,1,48.2,36,12.75
huarmey,PE,1554348435,-10.07,-78.15,8,65.25,93,3.4
ankang,CN,1554348436,32.73,108.99,80,56.07,62,2.51
belomorsk,RU,1554348436,64.52,34.76,44,31.41,79,9.89
middelburg,ZA,1554348436,-25.77,29.46,8,48.87,91,2.95
bialystok,PL,1554348348,53.13,23.15,0,39.0,45,15.7
paamiut,GL,1554348307,61.99,-49.67,88,31.05,94,15.37
batagay-alyta,RU,1554348438,67.8,130.41,44,29.52,88,4.29
sault sainte marie,CA,1554346800,46.49,-84.36,1,28.4,63,4.7
plaridel,PH,1554348439,13.96,122.02,0,84.06,86,9.33
galesong,ID,1554345000,-5.32,119.37,40,86.0,74,4.7
iglesias,ES,1554348268,42.3,-3.99,0,33.01,85,5.82
miandrivazo,MG,1554348440,-19.53,45.46,32,67.5,93,2.73
carhuaz,PE,1554348440,-9.28,-77.65,32,41.85,93,1.72
roebourne,AU,1554348440,-20.77,117.15,0,96.93,27,8.77
lorengau,PG,1554348073,-2.02,147.27,48,82.53,100,7.43
makokou,GA,1554348441,0.56,12.85,56,71.1,98,2.39
avera,US,1554348062,33.19,-82.53,1,57.2,66,4.97
machinga,MW,1554348442,-15.18,35.3,36,62.73,100,2.73
buin,CL,1554348268,-33.73,-70.74,100,70.0,82,2.24
ixtapa,MX,1554348315,20.71,-105.21,5,75.99,88,1.72
cedar city,US,1554347702,37.68,-113.06,20,48.2,66,5.82
kaeo,NZ,1554347285,-35.1,173.78,8,66.0,75,5.01
guerrero negro,MX,1554348127,27.97,-114.04,12,58.77,85,8.88
le mars,US,1554348063,42.79,-96.17,90,42.8,100,11.41
raudeberg,NO,1554348005,61.99,5.14,0,39.0,86,5.82
deer lake,CA,1554346800,49.18,-57.43,90,37.4,91,13.87
havelock,US,1554348226,34.88,-76.9,1,57.2,76,6.93
townsville,AU,1554347748,-19.26,146.82,40,87.01,55,16.11
marienburg,DE,1554348303,52.12,9.98,75,43.0,100,3.36
pangnirtung,CA,1554348445,66.15,-65.72,20,-6.4,57,3.96
berdigestyakh,RU,1554348293,62.1,126.7,36,37.53,66,3.74
khandyga,RU,1554348154,62.65,135.58,0,34.92,58,3.74
mugur-aksy,RU,1554348446,50.38,90.44,56,37.08,69,3.06
anage,BR,1554348268,-14.61,-41.14,0,71.1,80,7.76
sidi ali,DZ,1554348447,36.1,0.42,80,56.7,66,7.09
wucheng,CN,1554348447,29.09,119.57,92,54.63,90,2.62
nemuro,JP,1554346800,43.32,145.57,75,42.8,30,9.17
coquimbo,CL,1554343200,-29.95,-71.34,0,60.8,82,3.36
west plains,US,1554348242,36.73,-91.85,1,60.8,38,3.36
maningrida,AU,1554348448,-12.05,134.23,76,84.51,87,23.31
berlevag,NO,1554346200,70.86,29.09,40,26.6,68,10.29
zaraza,VE,1554348449,9.35,-65.33,0,77.76,71,14.47
bonavista,CA,1554347707,48.65,-53.11,92,33.01,87,11.99
ust-kuyga,RU,1554348449,70.0,135.55,76,27.9,86,4.41
pangkalanbuun,ID,1554348411,-2.68,111.62,0,86.67,85,4.29
kampene,CD,1554348450,-3.59,26.67,44,73.89,83,2.17
landeck,AT,1554348190,47.14,10.57,90,44.01,70,13.87
pringsewu,ID,1554348451,-5.36,104.98,32,83.7,78,2.84
sindor,RU,1554348158,62.87,51.9,0,22.5,86,6.31
hobyo,SO,1554348076,5.35,48.53,64,79.11,91,7.43
tulun,RU,1554348452,54.56,100.58,44,32.22,52,3.4
morehead,US,1554347936,38.18,-83.43,75,53.6,61,3.85
braganca,BR,1554348412,-1.05,-46.77,92,74.52,99,2.17
saldanha,PT,1554348130,41.42,-6.55,0,30.6,90,4.63
ponta delgada,PT,1554348325,37.73,-25.67,40,55.4,76,9.17
duminichi,RU,1554348453,53.93,35.11,48,27.09,77,8.1
shimoda,JP,1554348011,34.7,138.93,20,62.01,35,11.41
hirado,JP,1554348207,33.32,129.49,75,60.01,44,8.05
saint-georges,CA,1554347771,46.12,-70.67,88,32.0,70,8.01
pandamatenga,BW,1554348455,-18.54,25.64,0,62.73,54,9.55
aklavik,CA,1554345300,68.22,-135.01,90,5.0,71,5.82
ziro,IN,1554346800,27.54,93.82,90,68.0,88,3.36
manggar,ID,1554348132,-2.88,108.27,0,86.4,90,3.85
pitiquito,MX,1554348002,30.68,-112.05,12,69.01,41,1.01
pachora,IN,1554348456,20.66,75.35,8,82.44,41,4.97
yar-sale,RU,1554348164,66.83,70.83,88,20.88,97,4.97
half moon bay,US,1554348185,37.46,-122.43,90,59.0,82,4.7
porto velho,BR,1554346800,-8.75,-63.87,40,77.0,88,2.24
gravdal,NO,1554348424,59.79,5.78,8,50.0,57,8.05
puri,ID,1554346800,-7.54,112.45,40,86.0,74,6.93
merauke,ID,1554348459,-8.49,140.4,48,87.12,83,6.08
tucuman,PE,1554348459,-17.17,-70.89,0,55.98,87,1.16
yalta,UA,1554348174,46.96,37.27,0,36.81,100,9.78
ovalle,CL,1554348460,-30.6,-71.2,12,57.78,94,2.51
mengyin,CN,1554348460,35.71,117.93,12,66.33,35,12.24
langsa,ID,1554348460,4.47,97.97,64,76.68,96,1.39
serra talhada,BR,1554348461,-7.99,-38.29,92,70.38,97,4.18
kutum,SD,1554348461,14.2,24.66,0,55.71,28,7.99
griffith,AU,1554346800,-34.29,146.06,75,82.4,30,6.93
camacha,PT,1554346800,33.08,-16.33,40,59.0,82,19.46
artyshta,RU,1554348462,54.12,86.29,92,32.85,76,5.64
san patricio,PY,1554348067,-26.98,-56.83,88,73.53,95,2.95
aswan,EG,1554343200,24.09,32.9,0,68.0,30,4.7
cotonou,BJ,1554343200,6.37,2.43,20,84.2,83,10.29
dhidhdhoo,MV,1554348464,6.88,73.1,0,81.9,100,1.72
abu samrah,SY,1554348154,35.3,37.18,12,44.37,89,2.73
mapiripan,CO,1554348464,2.89,-72.13,0,70.74,90,4.85
san julian,SV,1554348344,13.7,-89.56,0,80.6,61,4.7
dubbo,AU,1554346800,-32.25,148.6,76,80.6,34,5.82
ukiah,US,1554348462,39.15,-123.21,20,57.2,71,8.05
skjervoy,NO,1554348466,70.03,20.97,48,31.23,100,8.66
madang,PG,1554348466,-5.21,145.81,92,76.23,100,4.97
tungor,RU,1554348467,53.39,142.95,88,32.76,96,20.74
lompoc,US,1554348055,34.64,-120.46,40,59.0,87,5.82
eureka,US,1554348434,40.8,-124.16,90,54.0,81,1.72
bose,IT,1554348443,45.46,8.01,90,51.01,93,9.17
tigil,RU,1554348468,57.8,158.67,20,38.52,85,15.26
